kb,id,score,question_type,difficulty,source_page_known
kb-256,Q001,0.6,factual_lookup,easy,False
kb-256,Q002,0.8,numerical,easy,False
kb-256,Q003,0.8,factual_lookup,easy,False
kb-256,Q004,1.0,factual_lookup,medium,False
kb-256,Q005,0.6,factual_lookup,medium,False
kb-256,Q006,0.6,factual_lookup,medium,False
kb-256,Q007,0.4,factual_lookup,medium,False
kb-256,Q008,0.2,factual_lookup,medium,False
kb-256,Q009,0.4,factual_lookup,medium,False
kb-256,Q010,0.6,factual_lookup,easy,False
kb-256,Q011,0.6,numerical,easy,False
kb-256,Q012,0.8,factual_lookup,medium,False
kb-256,Q013,0.8,numerical,easy,False
kb-256,Q014,0.4,numerical,easy,False
kb-256,Q015,1.0,numerical,easy,False
kb-256,Q016,1.0,numerical,easy,False
kb-256,Q017,1.0,numerical,medium,False
kb-256,Q018,0.8,numerical,medium,False
kb-256,Q019,1.0,numerical,medium,False
kb-256,Q020,1.0,numerical,medium,False
kb-256,Q021,1.0,policy_interpretation,hard,False
kb-256,Q022,0.8,numerical,medium,False
kb-256,Q023,0.4,policy_interpretation,medium,False
kb-256,Q024,1.0,policy_interpretation,hard,False
kb-256,Q025,0.6,numerical,medium,False
kb-256,Q026,0.2,numerical,easy,False
kb-256,Q027,0.4,numerical,easy,False
kb-256,Q028,0.4,numerical,easy,False
kb-256,Q029,0.2,numerical,easy,False
kb-256,Q030,0.4,numerical,easy,False
kb-256,Q031,0.6,numerical,easy,False
kb-256,Q032,0.4,numerical,medium,False
kb-256,Q033,0.2,numerical,easy,True
kb-256,Q034,0.6,factual_lookup,easy,True
kb-256,Q035,0.8,multi_hop,hard,True
kb-256,Q036,0.0,factual_lookup,easy,True
kb-256,Q037,0.6,factual_lookup,easy,True
kb-256,Q038,0.6,numerical,medium,True
kb-256,Q039,0.0,numerical,medium,True
kb-256,Q040,0.2,factual_lookup,easy,True
kb-256,Q041,0.0,factual_lookup,medium,True
kb-256,Q042,0.2,factual_lookup,medium,True
kb-256,Q043,0.2,factual_lookup,medium,True
kb-256,Q044,1.0,policy_interpretation,hard,True
kb-256,Q045,0.0,policy_interpretation,medium,True
kb-256,Q046,0.4,factual_lookup,easy,True
kb-256,Q047,0.6,numerical,easy,True
kb-256,Q048,0.0,factual_lookup,medium,True
kb-256,Q049,0.2,factual_lookup,medium,True
kb-256,Q050,0.0,multi_hop,hard,True
kb-512,Q001,1.0,factual_lookup,easy,False
kb-512,Q002,0.8,numerical,easy,False
kb-512,Q003,0.6,factual_lookup,easy,False
kb-512,Q004,1.0,factual_lookup,medium,False
kb-512,Q005,0.8,factual_lookup,medium,False
kb-512,Q006,0.6,factual_lookup,medium,False
kb-512,Q007,0.4,factual_lookup,medium,False
kb-512,Q008,0.4,factual_lookup,medium,False
kb-512,Q009,0.6,factual_lookup,medium,False
kb-512,Q010,0.8,factual_lookup,easy,False
kb-512,Q011,0.8,numerical,easy,False
kb-512,Q012,1.0,factual_lookup,medium,False
kb-512,Q013,1.0,numerical,easy,False
kb-512,Q014,0.6,numerical,easy,False
kb-512,Q015,1.0,numerical,easy,False
kb-512,Q016,1.0,numerical,easy,False
kb-512,Q017,1.0,numerical,medium,False
kb-512,Q018,1.0,numerical,medium,False
kb-512,Q019,1.0,numerical,medium,False
kb-512,Q020,1.0,numerical,medium,False
kb-512,Q021,1.0,policy_interpretation,hard,False
kb-512,Q022,0.8,numerical,medium,False
kb-512,Q023,0.4,policy_interpretation,medium,False
kb-512,Q024,1.0,policy_interpretation,hard,False
kb-512,Q025,0.6,numerical,medium,False
kb-512,Q026,0.2,numerical,easy,False
kb-512,Q027,0.2,numerical,easy,False
kb-512,Q028,0.4,numerical,easy,False
kb-512,Q029,0.2,numerical,easy,False
kb-512,Q030,0.2,numerical,easy,False
kb-512,Q031,0.6,numerical,easy,False
kb-512,Q032,0.4,numerical,medium,False
kb-512,Q033,0.2,numerical,easy,True
kb-512,Q034,0.4,factual_lookup,easy,True
kb-512,Q035,0.6,multi_hop,hard,True
kb-512,Q036,0.0,factual_lookup,easy,True
