system,question_index,faithfulness,answer_relevance
system1_gpt_only,1,0.0,0.0
system1_gpt_only,2,0.0,0.0
system1_gpt_only,3,0.0,0.0
system1_gpt_only,4,0.0,0.0
system1_gpt_only,5,0.0,0.0
system1_gpt_only,6,0.0,0.0
system1_gpt_only,7,0.0,0.0
system1_gpt_only,8,0.0,0.0
system1_gpt_only,9,0.0,0.0
system1_gpt_only,10,0.0,0.8352
system1_gpt_only,11,0.0,0.0
system1_gpt_only,12,0.0,0.0
system1_gpt_only,13,0.0,0.0
system1_gpt_only,14,0.0,0.0
system1_gpt_only,15,0.0,0.0
system1_gpt_only,16,0.0,0.0
system1_gpt_only,17,0.0,0.0
system1_gpt_only,18,0.0,0.0
system1_gpt_only,19,0.0,0.0
system1_gpt_only,20,0.0,0.0
system1_gpt_only,21,0.0,0.9211
system1_gpt_only,22,0.0,0.0
system1_gpt_only,23,0.0,0.0
system1_gpt_only,24,0.0,0.0
system1_gpt_only,25,0.0,0.8181
system1_gpt_only,26,0.0,0.0
system1_gpt_only,27,0.0,0.0
system1_gpt_only,28,0.0,0.0
system1_gpt_only,29,0.0,0.0
system1_gpt_only,30,0.0,0.0
system1_gpt_only,31,0.0,0.0
system1_gpt_only,32,0.0,0.0
system1_gpt_only,33,0.0,0.0
system1_gpt_only,34,0.0,0.0
system1_gpt_only,35,0.0,0.0
system1_gpt_only,36,0.0,0.0
system1_gpt_only,37,0.0,0.0
system1_gpt_only,38,0.0,0.0
system1_gpt_only,39,0.0,0.9849
system1_gpt_only,40,0.0,0.0
system1_gpt_only,41,0.0,0.8979
system1_gpt_only,42,0.0,0.0
system1_gpt_only,43,0.0,0.0
system1_gpt_only,44,0.0,0.0
system1_gpt_only,45,0.0,0.8816
system1_gpt_only,46,0.0,0.8199
system1_gpt_only,47,0.0,0.0
system1_gpt_only,48,0.0,0.9825
system1_gpt_only,49,0.0,0.7828
system1_gpt_only,50,0.0,0.0
system2_basic_rag,1,1.0,1.0
system2_basic_rag,2,1.0,0.9697
system2_basic_rag,3,1.0,1.0
system2_basic_rag,4,1.0,0.8451
system2_basic_rag,5,1.0,0.9046
system2_basic_rag,6,1.0,0.9758
system2_basic_rag,7,1.0,0.9479
system2_basic_rag,8,0.0,0.9973
system2_basic_rag,9,1.0,0.9017
system2_basic_rag,10,1.0,0.9091
system2_basic_rag,11,1.0,1.0
system2_basic_rag,12,1.0,0.4567
system2_basic_rag,13,1.0,1.0
system2_basic_rag,14,0.0,0.0
system2_basic_rag,15,1.0,0.9115
system2_basic_rag,16,1.0,0.9168
system2_basic_rag,17,1.0,0.5701
system2_basic_rag,18,1.0,0.9442
system2_basic_rag,19,1.0,0.7197
system2_basic_rag,20,0.7692,1.0
system2_basic_rag,21,1.0,0.8918
system2_basic_rag,22,1.0,0.7003
