system,id,question_type,difficulty,faithfulness,answer_relevance,latency,note
system1_gpt_only,Q001,factual_lookup,easy,0.0,0.0,7.08,faithfulness=0: no retrieval
system1_gpt_only,Q002,numerical,easy,0.0,0.0,4.5,faithfulness=0: no retrieval
system1_gpt_only,Q003,factual_lookup,easy,0.0,0.0,4.35,faithfulness=0: no retrieval
system1_gpt_only,Q004,factual_lookup,medium,0.0,0.0,6.12,faithfulness=0: no retrieval
system1_gpt_only,Q005,factual_lookup,medium,0.0,0.0,7.46,faithfulness=0: no retrieval
system1_gpt_only,Q006,factual_lookup,medium,0.0,0.0,4.13,faithfulness=0: no retrieval
system1_gpt_only,Q007,factual_lookup,medium,0.0,0.0,4.22,faithfulness=0: no retrieval
system1_gpt_only,Q008,factual_lookup,medium,0.0,0.0,4.16,faithfulness=0: no retrieval
system1_gpt_only,Q009,factual_lookup,medium,0.0,0.0,7.13,faithfulness=0: no retrieval
system1_gpt_only,Q010,factual_lookup,easy,0.0,0.8352,3.97,faithfulness=0: no retrieval
system1_gpt_only,Q011,numerical,easy,0.0,0.0,3.39,faithfulness=0: no retrieval
system1_gpt_only,Q012,factual_lookup,medium,0.0,0.0,4.73,faithfulness=0: no retrieval
system1_gpt_only,Q013,numerical,easy,0.0,0.0,4.98,faithfulness=0: no retrieval
system1_gpt_only,Q014,numerical,easy,0.0,0.0,4.28,faithfulness=0: no retrieval
system1_gpt_only,Q015,numerical,easy,0.0,0.0,6.54,faithfulness=0: no retrieval
system1_gpt_only,Q016,numerical,easy,0.0,0.0,3.86,faithfulness=0: no retrieval
system1_gpt_only,Q017,numerical,medium,0.0,0.0,3.72,faithfulness=0: no retrieval
system1_gpt_only,Q018,numerical,medium,0.0,0.0,4.0,faithfulness=0: no retrieval
system1_gpt_only,Q019,numerical,medium,0.0,0.0,3.84,faithfulness=0: no retrieval
system1_gpt_only,Q020,numerical,medium,0.0,0.0,4.06,faithfulness=0: no retrieval
system1_gpt_only,Q021,policy_interpretation,hard,0.0,0.9211,7.37,faithfulness=0: no retrieval
system1_gpt_only,Q022,numerical,medium,0.0,0.0,6.11,faithfulness=0: no retrieval
system1_gpt_only,Q023,policy_interpretation,medium,0.0,0.0,5.13,faithfulness=0: no retrieval
system1_gpt_only,Q024,policy_interpretation,hard,0.0,0.0,5.41,faithfulness=0: no retrieval
system1_gpt_only,Q025,numerical,medium,0.0,0.8181,4.18,faithfulness=0: no retrieval
system1_gpt_only,Q026,numerical,easy,0.0,0.0,4.08,faithfulness=0: no retrieval
system1_gpt_only,Q027,numerical,easy,0.0,0.0,5.12,faithfulness=0: no retrieval
system1_gpt_only,Q028,numerical,easy,0.0,0.0,4.14,faithfulness=0: no retrieval
system1_gpt_only,Q029,numerical,easy,0.0,0.0,4.29,faithfulness=0: no retrieval
system1_gpt_only,Q030,numerical,easy,0.0,0.0,4.26,faithfulness=0: no retrieval
system1_gpt_only,Q031,numerical,easy,0.0,0.0,4.14,faithfulness=0: no retrieval
system1_gpt_only,Q032,numerical,medium,0.0,0.0,3.97,faithfulness=0: no retrieval
system1_gpt_only,Q033,numerical,easy,0.0,0.0,3.62,faithfulness=0: no retrieval
system1_gpt_only,Q034,factual_lookup,easy,0.0,0.0,3.65,faithfulness=0: no retrieval
system1_gpt_only,Q035,multi_hop,hard,0.0,0.0,7.21,faithfulness=0: no retrieval
system1_gpt_only,Q036,factual_lookup,easy,0.0,0.0,3.21,faithfulness=0: no retrieval
system1_gpt_only,Q037,factual_lookup,easy,0.0,0.0,2.66,faithfulness=0: no retrieval
system1_gpt_only,Q038,numerical,medium,0.0,0.0,3.5,faithfulness=0: no retrieval
system1_gpt_only,Q039,numerical,medium,0.0,0.9849,6.12,faithfulness=0: no retrieval
system1_gpt_only,Q040,factual_lookup,easy,0.0,0.0,3.84,faithfulness=0: no retrieval
system1_gpt_only,Q041,factual_lookup,medium,0.0,0.8979,4.99,faithfulness=0: no retrieval
system1_gpt_only,Q042,factual_lookup,medium,0.0,0.0,5.58,faithfulness=0: no retrieval
system1_gpt_only,Q043,factual_lookup,medium,0.0,0.0,3.9,faithfulness=0: no retrieval
system1_gpt_only,Q044,policy_interpretation,hard,0.0,0.0,7.49,faithfulness=0: no retrieval
system1_gpt_only,Q045,policy_interpretation,medium,0.0,0.8816,5.56,faithfulness=0: no retrieval
system1_gpt_only,Q046,factual_lookup,easy,0.0,0.8199,4.18,faithfulness=0: no retrieval
system1_gpt_only,Q047,numerical,easy,0.0,0.0,2.69,faithfulness=0: no retrieval
system1_gpt_only,Q048,factual_lookup,medium,0.0,0.9825,4.69,faithfulness=0: no retrieval
system1_gpt_only,Q049,factual_lookup,medium,0.0,0.7828,5.27,faithfulness=0: no retrieval
system1_gpt_only,Q050,multi_hop,hard,0.0,0.0,7.06,faithfulness=0: no retrieval
system2_basic_rag,Q001,factual_lookup,easy,1.0,1.0,4.17,
system2_basic_rag,Q002,numerical,easy,1.0,0.9697,3.67,
system2_basic_rag,Q003,factual_lookup,easy,1.0,1.0,4.03,
system2_basic_rag,Q004,factual_lookup,medium,1.0,0.8451,4.53,
system2_basic_rag,Q005,factual_lookup,medium,1.0,0.9046,4.49,
system2_basic_rag,Q006,factual_lookup,medium,1.0,0.9758,3.44,
system2_basic_rag,Q007,factual_lookup,medium,1.0,0.9479,3.9,
system2_basic_rag,Q008,factual_lookup,medium,0.0,0.9973,3.75,
system2_basic_rag,Q009,factual_lookup,medium,1.0,0.9017,4.37,
system2_basic_rag,Q010,factual_lookup,easy,1.0,0.9091,4.1,
system2_basic_rag,Q011,numerical,easy,1.0,1.0,4.52,
system2_basic_rag,Q012,factual_lookup,medium,1.0,0.4567,5.46,
system2_basic_rag,Q013,numerical,easy,1.0,1.0,3.52,
system2_basic_rag,Q014,numerical,easy,0.0,0.0,4.65,
system2_basic_rag,Q015,numerical,easy,1.0,0.9115,3.41,
system2_basic_rag,Q016,numerical,easy,1.0,0.9168,3.6,
system2_basic_rag,Q017,numerical,medium,1.0,0.5701,4.71,
system2_basic_rag,Q018,numerical,medium,1.0,0.9442,4.77,
system2_basic_rag,Q019,numerical,medium,1.0,0.7197,4.39,
system2_basic_rag,Q020,numerical,medium,0.7692,1.0,5.23,
system2_basic_rag,Q021,policy_interpretation,hard,1.0,0.8918,6.24,
system2_basic_rag,Q022,numerical,medium,1.0,0.7003,5.04,
