mode,id,hit,question_type,difficulty
vector_only,Q001,0,factual_lookup,easy
keyword_only,Q001,0,factual_lookup,easy
hybrid,Q001,0,factual_lookup,easy
vector_only,Q002,0,numerical,easy
keyword_only,Q002,0,numerical,easy
hybrid,Q002,0,numerical,easy
vector_only,Q003,0,factual_lookup,easy
keyword_only,Q003,0,factual_lookup,easy
hybrid,Q003,0,factual_lookup,easy
vector_only,Q004,0,factual_lookup,medium
keyword_only,Q004,0,factual_lookup,medium
hybrid,Q004,0,factual_lookup,medium
vector_only,Q005,0,factual_lookup,medium
keyword_only,Q005,0,factual_lookup,medium
hybrid,Q005,0,factual_lookup,medium
vector_only,Q006,0,factual_lookup,medium
keyword_only,Q006,0,factual_lookup,medium
hybrid,Q006,0,factual_lookup,medium
vector_only,Q007,0,factual_lookup,medium
keyword_only,Q007,0,factual_lookup,medium
hybrid,Q007,0,factual_lookup,medium
vector_only,Q008,0,factual_lookup,medium
keyword_only,Q008,0,factual_lookup,medium
hybrid,Q008,0,factual_lookup,medium
vector_only,Q009,0,factual_lookup,medium
keyword_only,Q009,0,factual_lookup,medium
hybrid,Q009,0,factual_lookup,medium
vector_only,Q010,0,factual_lookup,easy
keyword_only,Q010,0,factual_lookup,easy
hybrid,Q010,0,factual_lookup,easy
vector_only,Q011,1,numerical,easy
keyword_only,Q011,1,numerical,easy
hybrid,Q011,1,numerical,easy
vector_only,Q012,1,factual_lookup,medium
keyword_only,Q012,1,factual_lookup,medium
hybrid,Q012,1,factual_lookup,medium
vector_only,Q013,1,numerical,easy
keyword_only,Q013,1,numerical,easy
hybrid,Q013,1,numerical,easy
vector_only,Q014,1,numerical,easy
keyword_only,Q014,1,numerical,easy
hybrid,Q014,1,numerical,easy
vector_only,Q015,1,numerical,easy
keyword_only,Q015,1,numerical,easy
hybrid,Q015,1,numerical,easy
vector_only,Q016,1,numerical,easy
keyword_only,Q016,1,numerical,easy
hybrid,Q016,1,numerical,easy
vector_only,Q017,1,numerical,medium
keyword_only,Q017,1,numerical,medium
hybrid,Q017,1,numerical,medium
vector_only,Q018,1,numerical,medium
